EpochTime,Latitude,Longitude,Altitude,Satellite,PDOP,Speed,Heading,AccX,AccY,AccZ,RotX,RotY,RotZ,Pitch,Roll,Temp,Session,Step,CRC,Count,t,dt,gps_distance,speed_gps,speed_error,speed_flag
2026-04-02 17:32:10.300,48.24765396,16.37302017,165.8549957,14,1.64999998,0.024,345.0429688,32,-74,7910,4,40,-100,1.5444684,-1.12042224,-4912,7,3,57148,43546,1775151130.3,0.5,0.1414279739898448,0.2828559479796896,-0.2588559479796896,False
2026-04-02 17:32:10.800,48.24765778,16.37302017,166.0639954,14,1.64999998,0.026,345.0429688,-14,-130,7874,-4,44,-99,1.43574381,-1.07655227,-4912,7,3,50804,43547,1775151130.8,0.5,0.4247646194246446,0.8495292388492892,-0.8235292388492892,False
2026-04-02 17:32:11.300,48.24765778,16.37302017,166.2380066,14,1.64999998,0.041,345.0429688,4,-88,7898,2,43,-104,1.4468044,-1.05852866,-4912,7,3,10965,43548,1775151131.3,0.5,0.0,0.0,0.041,False
2026-04-02 17:32:11.800,48.24766159,16.37302017,166.3589935,14,1.94000006,0.05,345.0429688,36,-116,7966,-9,46,-100,1.46143854,-1.04015136,-4896,7,3,49575,43549,1775151131.8,0.5,0.42365267074795376,0.8473053414959075,-0.7973053414959075,False
2026-04-02 17:32:12.300,48.24766159,16.37301826,166.503006,14,1.64999998,0.033,345.0429688,18,-100,7938,-2,40,-103,1.48638308,-1.01742113,-4624,7,3,45763,43550,1775151132.3,0.5,0.1414279531256355,0.282855906251271,-0.249855906251271,False
2026-04-02 17:32:12.800,48.24766159,16.37301826,166.6660004,14,1.64999998,0.009,345.0429688,46,-112,7942,-7,46,-114,1.52664101,-0.98175305,-4912,7,3,35851,43551,1775151132.8,0.5,0.0,0.0,0.009,False
2026-04-02 17:32:13.300,48.24766159,16.37301826,166.7960053,14,1.64999998,0.064,345.0429688,-12,-86,7992,-2,29,-86,1.5516994,-0.97630209,-4880,7,3,6521,43552,1775151133.3,0.5,0.0,0.0,0.064,False
2026-04-02 17:32:13.800,48.24766159,16.37301826,166.9210053,14,1.64999998,0.024,345.0429688,30,-42,7950,5,51,-110,1.50433362,-0.96872586,-4880,7,3,27795,43553,1775151133.8,0.5,0.0,0.0,0.024,False
2026-04-02 17:32:14.300,48.24766541,16.37301826,167.0279999,14,1.64999998,0.019,307.7070313,-10,-68,7850,-3,42,-89,1.50501192,-1.13518214,-4912,7,3,39904,43554,1775151134.3,0.5,0.4247646201319677,0.8495292402639354,-0.8305292402639354,False
2026-04-02 17:32:14.800,48.24766541,16.37301826,167.1139984,14,1.94000006,0.073,307.7070313,-6,-102,7926,-4,45,-98,1.52207422,-1.08913648,-4912,7,3,10624,43555,1775151134.8,0.5,0.0,0.0,0.073,False
2026-04-02 17:32:15.300,48.24766541,16.37301826,167.2449951,13,1.94000006,0.117,325.0916748,-10,-142,7838,-6,43,-98,1.54883826,-1.06385732,-4896,7,3,24266,43556,1775151135.3,0.5,0.0,0.0,0.117,False
2026-04-02 17:32:15.800,48.24766541,16.37301826,167.3370056,13,1.94000006,0.069,325.0916748,32,-48,7918,-15,44,-91,1.55706739,-1.03433788,-4928,7,3,52545,43557,1775151135.8,0.5,0.0,0.0,0.069,False
2026-04-02 17:32:16.300,48.24766541,16.37301826,167.4320068,14,1.64999998,0.087,202.4414673,244,-104,6642,24,-12,-116,1.50150001,-0.97284412,-4928,7,3,33280,43558,1775151136.3,0.5,0.0,0.0,0.087,False
2026-04-02 17:32:16.800,48.24766541,16.37301636,167.5180054,14,1.64999998,0.026,202.4414673,-66,-124,7898,-14,53,-97,1.48824954,-0.91225559,-4928,7,3,22827,43559,1775151136.8,0.5,0.14068748181649982,0.28137496363299963,-0.2553749636329996,False
2026-04-02 17:32:17.300,48.24766541,16.37301636,167.6109924,15,1.86000001,0.068,202.4414673,22,-56,7980,-7,31,-99,1.48772514,-0.74769264,-4944,7,3,64092,43560,1775151137.3,0.5,0.0,0.0,0.068,False
2026-04-02 17:32:17.800,48.24766541,16.37301636,167.7030029,14,1.86000001,0.043,202.4414673,-14,-64,7906,-6,48,-106,1.49898052,-0.78037369,-4912,7,3,27049,43561,1775151137.8,0.5,0.0,0.0,0.043,False
